CustomerId,FirstName,LastName,Company,Address,City,State,Country,PostalCode,Phone,Fax,Email
42,Wyatt,Girard,Sin compañia,"9, Place Louis Barthou",Bordeaux,No aplica,France,33000,33-05-56-96-96-96,No registrado,wyatt.girard@yahoo.fr
43,Isabelle,Mercier,Sin compañia,"68, Rue Jouvence",Dijon,No aplica,France,21000,33-03-80-73-66-99,No registrado,isabelle_mercier@apple.fr
44,Terhi,Hämäläinen,Sin compañia,"9, Porthaninkatu",Helsinki,UU,Finland,00530,358-09-870-2000,No registrado,terhi.hamalainen@apple.fi
45,Ladislav,Kovács,Sin compañia,"58, Erzsébet krt.",Budapest,BU,Hungary,H-1073,No-registrado,No registrado,ladislav_kovacs@apple.hu
46,Hugh,O'Reilly,Sin compañia,"3, Chatham Street",Dublin,Dublin,Ireland,D02 A529,353-01-6792424,No registrado,hughoreilly@apple.ie
47,Lucas,Mancini,Sin compañia,"43, Via Degli Scipioni",Rome,RM,Italy,00192,39-06-39733434,No registrado,lucas.mancini@yahoo.it
48,Johannes,Van der Berg,Sin compañia,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,31-020-6223130,No registrado,johavanderberg@yahoo.nl
49,Stanisław,Wójcik,Sin compañia,"10, Ordynacka",Warsaw,No aplica,Poland,00-358,48-22-828-37-39,No registrado,stanisław.wójcik@wp.pl
50,Enrique,Muñoz,Sin compañia,"85, C/ San Bernardo",Madrid,No aplica,Spain,28015,34-914-454-454,No registrado,enrique_munoz@yahoo.es
51,Joakim,Johansson,Sin compañia,"9, Celsiusg.",Stockholm,No aplica,Sweden,11230,46-08-651-52-52,No registrado,joakim.johansson@yahoo.se
52,Emma,Jones,Sin compañia,"202, Hoxton Street",London,No aplica,United Kingdom,N1 5LH,44-020-7707-0707,No registrado,emma_jones@hotmail.com
53,Phil,Hughes,Sin compañia,"113, Lupus St",London,No aplica,United Kingdom,SW1V 3EN,44-020-7976-5722,No registrado,phil.hughes@gmail.com
54,Steve,Murray,Sin compañia,"110, Raeburn Pl",Edinburgh ,No aplica,United Kingdom,EH4 1HH,44-0131-315-3300,No registrado,steve.murray@yahoo.uk
55,Mark,Taylor,Sin compañia,"421, Bourke Street",Sidney,NSW,Australia,2010,61-02-9332-3633,No registrado,mark.taylor@yahoo.au
56,Diego,Gutiérrez,Sin compañia,"307, Macacha Güemes",Buenos Aires,No aplica,Argentina,1106,54-011-4311-4333,No registrado,diego.gutierrez@yahoo.ar
57,Luis,Rojas,Sin compañia,"198, Calle Lira",Santiago,No aplica,Chile,8320000,56-02-635-4444,No registrado,luisrojas@yahoo.cl
58,Manoj,Pareek,Sin compañia,"12,Community Centre",Delhi,DE,India,110017,91-0124-39883988,No registrado,manoj.pareek@rediff.com
59,Puja,Srivastava,Sin compañia,"3,Raj Bhavan Road",Bangalore,KA,India,560001,91-080-22289999,No registrado,puja_srivastava@yahoo.in
